ID,GoogleMapsID,Name,Types,Address,Phone Number,International Phone Number,Opening hours,Website,Operational,Rating,Total Reviewers,Reviews,Wheelchair Accessible,Latitude,Longitude
10,ChIJwcsyNoIVVBMRZ33jlQRwV4Y,Wine Cellar Tikves AD Skopje,"['point_of_interest', 'food', 'establishment']","810 no. 2, Skopje",02 318 1700,+389 2 318 1700,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",https://www.tikves.com.mk/,OPERATIONAL,4.2,10,"[{'review_author': 'Risto Nachevski', 'rating': '5', 'text': 'Nice place to work and educate about wine !', 'relative_time_description': '8 months ago'}, {'review_author': 'Blaze Ilov', 'rating': '1', 'text': 'Gnasi nevideni opomenite gi tia so minat so gipovite niz sela deka luge ziveat u selata ne se voze 100na saat selo e roa prasina ima deca', 'relative_time_description': 'a month ago'}, {'review_author': 'Ljupco Janevic', 'rating': '1', 'text': '', 'relative_time_description': '3 years ago'}, {'review_author': 'Neno Jovanovski', 'rating': '5', 'text': '', 'relative_time_description': '2 years ago'}, {'review_author': 'Dimitar Zografski', 'rating': '5', 'text': '', 'relative_time_description': '9 months ago'}]",True,42.001556,21.467886
11,ChIJAe5xEJITVBMRWeBStnlQsYc,Brzanov,"['point_of_interest', 'food', 'establishment']","ul 1 br. 4 MK, Trubarevo",075 406 116,+389 75 406 116,"['Monday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",http://www.brzanov.mk/,OPERATIONAL,4.9,110,"[{'review_author': 'Viktor Kuzmanovski', 'rating': '5', 'text': 'The place is perfect for celebrations! It can be reserved and decorated in line with your desires and expectations. The owner Antonio is very caring, positive and communicative - he puts his heart and soul into what he does. The wine is magical!!\n\n10/10 I would recommend!', 'relative_time_description': 'a month ago'}, {'review_author': 'Aleksandar Gjorgjievski', 'rating': '5', 'text': 'Best wine and great food!\nThis is a must see and a great experience for wine tasting. Wide veriety of high quality local and regional wines of their own production and they even had very special organic wines!\n\nDefinitely 5 star!', 'relative_time_description': 'in the last week'}, {'review_author': 'Stefan', 'rating': '5', 'text': 'Authentic Macedonian wine and food, very polite and engaging staff, as well as owners that have dedicated their lives into creating this exquisite product. A true family-owned winery like no other! One of the best I have ever visited and look forward to visiting again!', 'relative_time_description': 'a month ago'}, {'review_author': 'Mark Warmerdam', 'rating': '5', 'text': 'We had a wonderful time at this winery. Antonio was very kind and spoke good English. Also the wines were from an outstanding quality. He even gave us a cheese board to try out. I would recommend going here.\n\nThanks!', 'relative_time_description': '2 months ago'}, {'review_author': 'Mitchel Breijer', 'rating': '5', 'text': 'We had a great wine tasting with the owner and his wife. He told and showed us how they make their wines. The location is peaceful and their wine is incredible. Surely recommend!🍷', 'relative_time_description': 'a month ago'}]",True,41.9856456,21.5171839
12,ChIJCTKhCFc_VBMRYVeqTLsON1M,Винарија Мирон (Miron winery),"['point_of_interest', 'food', 'establishment']","Palmiro Toljati 88, Skopje",075 336 482,+389 75 336 482,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",http://www.mironvinarija.mk/,OPERATIONAL,5.0,2,"[{'review_author': 'Steffan Oberman', 'rating': '5', 'text': 'Great wines and rakija but most importantly passionate and knowledgeable winemakers. Definitely recommend (also for English speakers).', 'relative_time_description': 'in the last week'}, {'review_author': 'M Tasss', 'rating': '5', 'text': '', 'relative_time_description': 'in the last week'}]",,42.0022688,21.498154
13,ChIJzfXjUSs-VBMRPag96_whDpA,Skovin AD Skopje Winery,"['point_of_interest', 'food', 'establishment']",15th Korpus No. 3 Skopje 1000,02 314 5701,+389 2 314 5701,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",,OPERATIONAL,4.9,11,"[{'review_author': 'goran jakimovski', 'rating': '5', 'text': '', 'relative_time_description': '2 years ago'}, {'review_author': 'Aleksandra Stojkovska', 'rating': '5', 'text': '', 'relative_time_description': '2 years ago'}, {'review_author': 'Dimitar Stojanovski', 'rating': '4', 'text': '', 'relative_time_description': '5 years ago'}, {'review_author': 'Marjan', 'rating': '5', 'text': '', 'relative_time_description': '5 years ago'}, {'review_author': 'Marijana Popovska', 'rating': '5', 'text': '', 'relative_time_description': '4 years ago'}]",,42.0004846,21.4785826
14,ChIJ5-exxgAVVBMRYZt9VX3MFig,Plus Ingenering,"['point_of_interest', 'food', 'establishment']","2C6J+PXP, Makedonsko Kosovska Brigada, Skopje",,,[],,OPERATIONAL,0.0,0,[],,42.0118401,21.4324579
15,ChIJKWJj4cgVVBMREARCU35_Z4s,Skovin Winery,"['liquor_store', 'point_of_interest', 'store', 'food', 'establishment']","11th October St. локал 306, Skopje",,,"['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",,OPERATIONAL,4.8,4,"[{'review_author': 'KATINA G', 'rating': '5', 'text': 'The shop is next to the sweet shop, sugar and wine go perfectly fine.\nDuring the summer, they sell fresh grapes.', 'relative_time_description': '5 years ago'}, {'review_author': 'Nedjo Mehmed', 'rating': '5', 'text': ""Ours and the world's"", 'relative_time_description': '4 months ago'}, {'review_author': 'Gabriela Anastasovska', 'rating': '4', 'text': '', 'relative_time_description': '2 years ago'}, {'review_author': 'Mihail Nakov', 'rating': '5', 'text': '', 'relative_time_description': '2 years ago'}]",,41.987347,21.436772
16,ChIJW8asLksUVBMRtT9fuTRjRfc,Wines Kamnik,"['liquor_store', 'point_of_interest', 'store', 'establishment']","br. 13, Dimitrija Chupovski, Skopje",02 311 7080,+389 2 311 7080,"['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",http://chateaukamnik.com,OPERATIONAL,4.8,80,"[{'review_author': 'Dmitry Matiuhin', 'rating': '5', 'text': 'Nice winery shop, though no option to taste before purchase. Prices are at least 30% lower than in Duty Free. Meanwhile I tasted only Orange wine (Gewurztraminer) - and it was very good. Have 2 more bottles of wine and 2 bottles of Rakia to taste.', 'relative_time_description': '6 months ago'}, {'review_author': 'Robert Pavlov', 'rating': '5', 'text': 'Great service. The staff is always helpful and they have good knowledge about the products they sell. Temjanika, Cuvee de Prestige and Chardonnay Barell Fermented are a must try!', 'relative_time_description': 'a year ago'}, {'review_author': 'Илија Господинов', 'rating': '5', 'text': 'Good selection, not only by the Kamnik. Can order online then pick up at the shop.', 'relative_time_description': '10 months ago'}, {'review_author': 'ana kap', 'rating': '4', 'text': 'Nice winery with very good selection of wines', 'relative_time_description': '4 years ago'}, {'review_author': 'Nikola Todorovski', 'rating': '5', 'text': ""Good location. Friendly and wine educated  employees. Always in a mood for a bottle of Kamnik's winemakers selection ***\nCheers"", 'relative_time_description': 'a year ago'}]",,41.9951829,21.4271862
17,ChIJwZVnaU8VVBMRDGP_SIqPoks,Wine Berry,"['bar', 'point_of_interest', 'food', 'establishment']","Metrpolit, Mitropolit Teodosij Gologanov 36 .4 / 5, Skopje",070 340 243,+389 70 340 243,"['Monday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: Closed']",http://wineberry.mk/,OPERATIONAL,4.7,70,"[{'review_author': 'Dmitry Matiuhin', 'rating': '5', 'text': 'Super cosy wine bar, owner Jadranka (hope I got the name right) gave me a wonderful tasting tour along with a lecture about the local wine industry. Highly recommended!', 'relative_time_description': '6 months ago'}, {'review_author': 'Oliver Heldt', 'rating': '5', 'text': 'Wonderful wine bar in Skopje where I tried several wines and was surprised once again about the Vranec grape. I will be back soon.', 'relative_time_description': 'a month ago'}, {'review_author': 'Oskar Palmenfelt', 'rating': '4', 'text': 'We had a wine tasting and it was interesting and we learned allot. They could arrange it with short notice.  But some miscommunication made it take a long time.', 'relative_time_description': 'a month ago'}, {'review_author': 'Niranjan Suri', 'rating': '5', 'text': 'Excellent Wine Bar in Skopje with a good collection of local wines from Macedonia. Owner was very knowledgeable and we thoroughly enjoyed our experience there. The only place we found in Skopje that actually qualifies as a wine bar in my opinion.', 'relative_time_description': '5 months ago'}, {'review_author': 'Lianna', 'rating': '5', 'text': 'Love this wine bar and shop. There are many types of Macedonian wine to try. And also imported wines. Friendly and relaxed atmosphere', 'relative_time_description': 'a year ago'}]",,41.9949643,21.421477
18,ChIJB18KZLQVVBMRWx6XWKvZE_4,Skovin,"['liquor_store', 'point_of_interest', 'store', 'food', 'establishment']","Македонија 53, Skopje",02 322 2477,+389 2 322 2477,"['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20091:00\u202fPM']",,OPERATIONAL,4.3,3,"[{'review_author': 'Jacob Taylor', 'rating': '4', 'text': 'They have some excellent cognac for good price. Compare to other stores ""Vero"". Remy XO cheaper then Hennessy XO. Also they helped me find a store for a kids birthday present.', 'relative_time_description': '2 months ago'}, {'review_author': 'Violeta Stojanovska', 'rating': '5', 'text': '', 'relative_time_description': '2 years ago'}, {'review_author': 'Zoran', 'rating': '4', 'text': '', 'relative_time_description': '6 years ago'}]",,41.9956295,21.4310744
19,ChIJDWQZsv8VVBMRZG8-UKbRcyg,Wine Tours Macedonia,"['travel_agency', 'point_of_interest', 'establishment']","8-mi Mart 18, Skopje",070 958 307,+389 70 958 307,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",https://winetours.mk/,OPERATIONAL,5.0,4,"[{'review_author': 'Kristian Godfrey', 'rating': '5', 'text': ""We regularly like to do wine tours on our holidays, so for Macedonia I found Martin well reviewed online. He was very responsive, keen to tailor to our requirements, and he created a great looking itinerary for our day exploring the Tikves wine region. I'm so glad we used him, as it was a fantastic day out - he has great relationships with some wonderful wineries, and we tasted many throughout the afternoon. The food was exquisite too.  I would highly recommend Martin for a well organised, fun and very tasty experience."", 'relative_time_description': '4 weeks ago'}, {'review_author': 'Franziska H', 'rating': '5', 'text': ""Martin organized an amazing day trip to 4 Macedonian wineries, including tasty snacks and a great food & wine pairing experience. If you're into wine and too lazy to do all the organzation by yourself, I totally recommend this tour!! :) Martin was super flexible - I was able to join a group just the next day. The highlight of my Macedonia trip!"", 'relative_time_description': '3 years ago'}, {'review_author': 'Z.M. Todorovski', 'rating': '5', 'text': 'Excellent initiative and business concept.. and hopefully profitable..Superb selection of wineries. Good luck guys and enjoy!', 'relative_time_description': '4 years ago'}, {'review_author': 'Kalanoska Irena', 'rating': '5', 'text': '', 'relative_time_description': '9 months ago'}]",,42.0014049,21.424255
20,ChIJ-REkEGNrVBMRiDvuxaeTzGk,Brazda Hills,"['point_of_interest', 'food', 'establishment']",Chucher-Sandevo,,,[],,CLOSED_TEMPORARILY,5.0,1,"[{'review_author': 'Muhamed Bilalli', 'rating': '5', 'text': '', 'relative_time_description': '7 months ago'}]",,42.0775025,21.4041701
21,ChIJacEi5bmNVRMRa6QXwZwNyKg,GALVIN WINERY&VINEYARDS,"['food', 'point_of_interest', 'establishment']","VGM4+882, Marsal Tito, Vinica",,,[],,OPERATIONAL,0.0,0,[],,41.883273,22.5057707
22,ChIJ0WHcqXRUVBMRrYo4cQ_7sHM,Kupenica Winery,"['food', 'point_of_interest', 'establishment']","6Q5P+X83, Nikuljane",,,[],,OPERATIONAL,4.0,7,"[{'review_author': 'Nenad Jankovic', 'rating': '5', 'text': 'Great place, huge frontyard, nice pool ,quiet and secluded by all the pines around. House was also spacious with spacious 4 bedrooms.', 'relative_time_description': '3 years ago'}, {'review_author': 'Borislav NT', 'rating': '5', 'text': '', 'relative_time_description': '5 years ago'}, {'review_author': 'Dragan Petrusevic', 'rating': '5', 'text': '', 'relative_time_description': '5 years ago'}, {'review_author': 'Cristy Bretan', 'rating': '2', 'text': '', 'relative_time_description': '2 years ago'}, {'review_author': 'Annabella Krstevska', 'rating': '5', 'text': '', 'relative_time_description': '3 years ago'}]",,42.20989580000001,21.7857068
23,ChIJj851y9EtVBMRxZAmdvw_qVM,Bela Voda - Tikves Winery Vineyadrs,"['point_of_interest', 'establishment']","QQXC+GVP, Sojaklari",,,[],http://www.tikves.com.mk/,OPERATIONAL,3.0,4,"[{'review_author': 'Kirstin Popov', 'rating': '1', 'text': 'Slowest service I have experienced anywhere in the world. Spent 45 minutes waiting for any employee to acknowlege our existence. Only got their attention when we walked into the server area to take our own menus. Drink order took 20 more minutes. Only ordered water and a bottle of wine.', 'relative_time_description': '5 years ago'}, {'review_author': 'Milanco Vukmirovikj', 'rating': '1', 'text': '', 'relative_time_description': '6 years ago'}, {'review_author': 'B B', 'rating': '5', 'text': '', 'relative_time_description': '6 years ago'}, {'review_author': 'Blagoja Josheski', 'rating': '5', 'text': '', 'relative_time_description': '4 years ago'}]",,41.7988315,21.7721987
24,ChIJOztc23aNVRMRX0DyR4kvyw0,Galvin,"['food', 'point_of_interest', 'establishment']","VFVR+P9V, Vinica",,,[],,OPERATIONAL,0.0,0,[],,41.8945413,22.4905057
